propertyCode	thumbnail	externalReference	numPhotos	floor	price	propertyType	operation	size	exterior	rooms	bathrooms	address	province	municipality	district	country	neighborhood	latitude	longitude	showAddress	url	distance	description	hasVideo	status	newDevelopment	hasLift	priceByArea	detailedType	suggestedTexts	hasPlan	has3DTour	has360	hasStaging	highlight	topNewDevelopment	topPlus	parkingSpace	labels	newDevelopmentFinished
103050817	https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/37/04/7f/1176363742.jpg	04214	32	7	285000.0	penthouse	sale	108.0	True	2	2	barrio Babel	Alicante	Alicante / Alacant	Benalúa-La Florida-Babel-San Gabriel	es	Babel	38.3389982	-0.5026513	False	https://www.idealista.com/inmueble/103050817/	1968	Este ático dúplex es la oportunidad que has estado esperando para disfrutar de una vida tranquila con todos los servicios en la zona de Babel en Alicante. Ubicado en una urbanización con piscina comunitaria, pista de pádel y áreas de juegos infantiles, este hogar te brinda todo lo que necesitas para una vida cómoda y divertida. Características Destacadas: 2 dormitorios espaciosos y 2 baños completos, perfectos para tu familia o visitantes. Un salón espacioso con acceso directo a la terraza, donde podrás disfrutar de momentos relajados. La vivienda cuenta con 3 terrazas, lo que te brinda múltiples opciones para disfrutar del aire libre. Plaza de garaje subterránea incluida para tu comodidad y seguridad. Urbanización con piscina comunitaria, pista de pádel y áreas de juegos infantiles, creando un entorno perfecto para la diversión y la relajación. Cercanía a todos los servicios que necesitas en tu día a día. Este ático dúplex es el reflejo de una vida cómoda y elegante en una ubicación ideal. NOTA: Para viviendas en venta, el precio de venta anunciado no incluye IMPUESTO DE TRASMISIONES PATRIMONIALES, NI GASTOS DE NOTARÍA Y REGISTRO.	False	good	False	True	2639.0	{'typology': 'flat', 'subTypology': 'penthouse'}	{'subtitle': 'Babel, Alicante / Alacant', 'title': 'Ático'}	True	True	False	False	{'groupDescription': 'Top'}	False	False	{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}		
102942072	https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7d/12/1f/959057678.jpg	P2-4-B	15	4	242000.0	flat	sale	71.0	True	2	1	Avenida Catedrático Soler s/n	Alicante	Alicante / Alacant	Benalúa-La Florida-Babel-San Gabriel	es	Benalúa	38.3398226	-0.4974617	True	https://www.idealista.com/obra-nueva/102942072/	1514	Descubre Balmis, un magnífico residencial compuesto por 60 viviendas de 2, 3 y 4 dormitorios con garaje y trastero. Zona residencial muy próxima al centro de Alicante, con todos los servicios necesarios en el entorno cercano (enfrente de un Mercadona). Muy próxima a la Milla de Oro donde se encuentran los grandes comercios de Alicante, El Corte Inglés, la estación de RENFE, estación de autobuses, la Casa del Mediterráneo, el Puerto Deportivo, la Explanada,.. . Muy cerca de la playa Del Postiguet, a escasos 15 minutos andando.	False	newdevelopment	True	True	3408.0	{'typology': 'flat'}	{'subtitle': 'Benalúa, Alicante / Alacant', 'title': 'Piso en Avenida Catedrático Soler s/n'}	True	True	False	False	{'groupDescription': 'Top'}	False	False	{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}		False
102946788	https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ce/d2/88/1175581139.jpg	A2M4341	21	1	150000.0	flat	sale	126.0	True	4	1	barrio Benalúa	Alicante	Alicante / Alacant	Benalúa-La Florida-Babel-San Gabriel	es	Benalúa	38.3432126	-0.4982361	False	https://www.idealista.com/inmueble/102946788/	1476	¡Una oportunidad única en Benalúa, Alicante! Una espaciosa vivienda de 4 dormitorios que está esperando a ser transformada en la casa de tus sueños. Esta propiedad se encuentra en una ubicación privilegiada, a escasos pasos de los juzgados de Alicante, lo que la convierte en una elección ideal tanto para familias como para profesionales del sector legal. Características destacadas: 1-Espacio Abundante: Con 4 dormitorios, tendrás suficiente espacio para acomodar a tu familia o incluso configurar un estudio en casa para teletrabajo. La versatilidad es la clave en esta propiedad. 2-Ubicación Inmejorable: Vivir en Benalúa significa estar cerca de todo lo que necesitas. Los juzgados de Alicante están a pocos pasos de tu puerta, lo que hace que esta propiedad sea perfecta para abogados, jueces o cualquier persona relacionada con el sector legal. 3-Potencial de Reforma: Si eres un amante de los proyectos de remodelación, esta es tu oportunidad. Imagina diseñar cada rincón de tu hogar a tu gusto, con tu estilo personal. 4-Comodidades cercanas: Restaurantes, tiendas, parques y más, todo a poca distancia. Nunca te faltará nada. 5-Potencial de inversión: Si buscas una inversión inmobiliaria, esta propiedad también es una excelente opción. La demanda de viviendas en esta zona es constante, lo que la convierte en una inversión segura. La finca dispone de ASCENSOR. Puedes visitarla ya, no esperes para ver esta casa. Llámanos. Gestionamos tu hipoteca con excelentes condiciones y resolviendo casos difíciles. Llámanos. Si quieres vender tu casa, nos encargamos de ello, fácil, rápido y seguro. Llámanos.  Este anuncio puede contener errores. La información se muestra a título informativo y meramente comercial, no comprometiendo contractualmente a la inmobiliaria. Conforme se requiere en el Decreto 98/2022 de 29 de julio de 2022, del Consell de la Comunitat Valenciana, por el que se regula el Registro de Agentes de Intermediación Inmobiliaria de la Comunitat, Azulcasa Inmobiliaria cumple con los siguientes requisitos y está inscrita en dicho registro, con el número RAICV0306. Azulcasa, expertos inmobiliarios desde 2003.	False	renew	False	True	1190.0	{'typology': 'flat'}	{'subtitle': 'Benalúa, Alicante / Alacant', 'title': 'Piso'}	True	False	True	False	{'groupDescription': 'Top'}	False	False			
