id	url	distrito	barrio	price (€)	bedrooms	area (m2)	floor	lift	street type	street	street_number
102675040	https://www.idealista.com/inmueble/102675040/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	92500	3	73	1	no	calle	 río amadorio	
102331713	https://www.idealista.com/inmueble/102331713/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	136000	3	92	0	no	calle	 san ignacio loyola	28
103285393	https://www.idealista.com/inmueble/103285393/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	129900	4	83	2	yes			
102639488	https://www.idealista.com/inmueble/102639488/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	83000	2	55	1	no	calle	 del maestro luis torregrosa	
103095995	https://www.idealista.com/inmueble/103095995/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	143900	2	88	5	yes	avenida	 padre espla	
102798755	https://www.idealista.com/inmueble/102798755/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	107000	3	100	1	no	calle	 san ignacio loyola	
102968151	https://www.idealista.com/inmueble/102968151/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	94500	3	67	2	no	calle	 del arquitecto vidal	1
103124350	https://www.idealista.com/inmueble/103124350/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	191000	4	133	1	yes	calle	 de haroldo parres	
99443157	https://www.idealista.com/inmueble/99443157/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	83630	2	71	4	no			7
103091192	https://www.idealista.com/inmueble/103091192/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	128500	3	57		yes	avenida	 del padre espla	
102955317	https://www.idealista.com/inmueble/102955317/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	97000	2	50	3	no	calle	 béjar	
102989488	https://www.idealista.com/inmueble/102989488/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	150000	1	105	5	yes	calle	 del ingeniero canales	2
99298375	https://www.idealista.com/inmueble/99298375/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	128000	3	75	5	yes	calle	 huesca	
103352950	https://www.idealista.com/inmueble/103352950/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	129900	4	99	2	yes			
102000860	https://www.idealista.com/inmueble/102000860/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	129000	2	46		no			
91351170	https://www.idealista.com/inmueble/91351170/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	89000	2	65	3	yes	calle	 maestro luis torregrosa	4
103012631	https://www.idealista.com/inmueble/103012631/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	135000	3	70	1	no	avenida	 del padre espla	43
97016489	https://www.idealista.com/inmueble/97016489/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	95000	2	53	0	yes	calle	 fiscal miguel gutiérrez carbonell	
103383783	https://www.idealista.com/inmueble/103383783/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	70000	2	38	5	yes	calle	 maestro luis torregrosa	17
